"Comment ID","Comment Published Date","Comment Author Name","Comment Content","Is Thread","Comment Likes Count","Comment Replies Count","Comment URL"
"Ugh5CxMmwAHzOngCoAEC","2017-01-05 03:16:26","Jason Peterson","Thanks for sharing.","true","2","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugh5CxMmwAHzOngCoAEC"
"UghDH6l7y1tjg3gCoAEC","2017-01-10 20:33:32","Aurora Rose","wow she is so sweet! love it","true","7","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UghDH6l7y1tjg3gCoAEC"
"Uggi0XRs0KjnaXgCoAEC","2017-02-10 04:17:04","Nextone Ontothe","Give the drummer some  IDK who it is but dude gets down","true","66","4","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Uggi0XRs0KjnaXgCoAEC"
"Ugg654LCSFb2tngCoAEC","2017-02-28 16:50:33","Bruno Godbout","Sounds like à theres a Leslie on the voice ;-)","true","1","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugg654LCSFb2tngCoAEC"
"UghyhysZQhLDtHgCoAEC","2017-05-19 05:01:41","Rex Spencer","She must of seen me sitting up there.......","true","2","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UghyhysZQhLDtHgCoAEC"
"Ughc4imgFw30aHgCoAEC","2017-05-20 06:18:31","James Shurley","She's really amazing .","true","4","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ughc4imgFw30aHgCoAEC"
"UgiQgmXaIy5UHHgCoAEC","2017-06-11 08:20:45","Ghosts & Empties","I've been a Fiona apple fan a long time and I've never seen her act like this ever! She must have been in a really good mood that night my god...What a performance and she really is playing up her sexuality here which she went away from very shortly after this","true","11","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgiQgmXaIy5UHHgCoAEC"
"UghEEofHvTsJlHgCoAEC","2017-06-30 21:17:05","Francesco Pazienza","i love this song so much, ""when a girl will break a boy just because she can""","true","12","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UghEEofHvTsJlHgCoAEC"
"UgwJH2Fx8vw4Gy-j1kJ4AaABAg","2017-08-11 20:40:33","mnpd3","I think she actually has gained a few pounds here.","true","0","1","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgwJH2Fx8vw4Gy-j1kJ4AaABAg"
"UgzUArixub5zMBUd6cR4AaABAg","2017-08-14 23:46:32","philthy alfred","She was hot in 1997.She looks like hell in 2017.Aging sucks.Her beauty is gone NOT that she was a great beauty but you know...","true","0","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgzUArixub5zMBUd6cR4AaABAg"
